Name;Hex triplet;Red;Green;Blue;Hue;Satur;Light;Satur;Value;W3C name
Air Force blue (RAF);#5D8AA8;36%;54%;66%;204°;30%;51%;45%;66%; 
Air Force blue (USAF);#00308F;0%;19%;56%;220°;100%;28%;100%;56%; 
Air superiority blue;#72A0C1;45%;63%;76%;205°;39%;60%;41%;76%; 
Alabama Crimson;#A32638;64%;15%;22%;350°;62%;39%;80%;60%; 
Alice blue;#F0F8FF;94%;97%;100%;208°;100%;97%;6%;100%; 
Alizarin crimson;#E32636;89%;15%;21%;355°;77%;52%;83%;89%; 
Alloy orange;#C46210;77%;38%;6%;27°;85%;42%;92%;77%; 
Almond;#EFDECD;94%;87%;80%;30°;52%;87%;14%;94%; 
Amaranth;#E52B50;90%;17%;31%;348°;78%;53%;81%;90%; 
Amazon;#3B7A57;23%;48%;34%;147°;35%;36%;52%;48%; 
Amber;#FFBF00;100%;75%;0%;45°;100%;50%;100%;100%; 
SAE/ECE Amber (color);#FF7E00;100%;49%;0%;30°;100%;50%;100%;100%; 
American rose;#FF033E;100%;1%;24%;345°;100%;51%;99%;87%; 
Amethyst;#9966CC;60%;40%;80%;270°;50%;60%;50%;80%; 
Android Green;#A4C639;64%;78%;22%;74°;55%;50%;71%;78%; 
Anti-flash white;#F2F3F4;95%;95%;96%;210°;8%;95%;1%;96%; 
Antique brass;#CD9575;80%;58%;46%;22°;47%;63%;43%;80%; 
Antique bronze;#665D1E;40%;36%;12%;53°;55%;26%;71%;40%; 
Antique fuchsia;#915C83;57%;36%;51%;316°;22%;47%;37%;57%; 
Antique ruby;#841B2D;52%;11%;18%;350°;66%;31%;80%;52%; 
Antique white;#FAEBD7;98%;92%;84%;34°;78%;91%;14%;98%; 
Ao (English);#008000;0%;50%;0%;120°;100%;25%;100%;50%; 
Apple green;#8DB600;55%;71%;0%;74°;100%;36%;100%;71%; 
Apricot;#FBCEB1;98%;81%;69%;24°;90%;84%;29%;98%; 
Aqua;#00FFFF;0%;100%;100%;160°;100%;50%;100%;100%; 
Aquamarine;#7FFFD4;50%;100%;83%;160°;100%;75%;50%;100%; 
Army green;#4B5320;29%;33%;13%;69°;44%;23%;61%;33%; 
Arsenic;#3B444B;23%;27%;29%;206°;12%;26%;21%;29%; 
Arylide yellow;#E9D66B;91%;84%;42%;51°;74%;67%;54%;91%; 
Ash grey;#B2BEB5;70%;75%;71%;135°;9%;72%;6%;75%; 
Asparagus;#87A96B;53%;66%;42%;93°;27%;54%;37%;66%; 
Atomic tangerine;#FF9966;100%;60%;40%;20°;100%;70%;60%;100%; 
Auburn;#A52A2A;65%;16%;16%;0°;59%;41%;74%;64%; 
Aureolin;#FDEE00;99%;93%;0%;56°;100%;50%;100%;99%; 
AuroMetalSaurus;#6E7F80;43%;50%;50%;183°;8%;47%;14%;50%; 
Avocado;#568203;34%;51%;1%;81°;96%;26%;98%;51%; 
Azure;#007FFF;0%;50%;100%;210°;100%;50%;100%;100%; 
Azure mist/web;#F0FFFF;94%;100%;100%;180°;100%;97%;6%;100%; 
Baby blue;#89CFF0;54%;81%;94%;199°;77%;74%;43%;94%; 
Baby blue eyes;#A1CAF1;63%;79%;95%;209°;74%;79%;33%;95%; 
Baby pink;#F4C2C2;96%;76%;76%;30°;69%;86%;21%;96%; 
Baker-Miller pink;#FF91AF;100%;57%;69%;344°;100%;78%;43%;100%; 
Ball Blue;#21ABCD;13%;67%;80%;192°;72%;47%;84%;80%; 
Banana Mania;#FAE7B5;98%;91%;71%;43°;87%;85%;28%;98%; 
Banana yellow;#FFE135;100%;88%;21%;51°;100%;60%;79%;100%; 
Barn red;#7C0A02;49%;4%;1%;4°;97%;25%;98%;49%; 
Battleship grey;#848482;52%;52%;51%;60°;1%;51%;2%;52%; 
Bazaar;#98777B;60%;47%;48%;353°;14%;53%;22%;60%; 
Beau blue;#BCD4E6;74%;83%;90%;206°;46%;82%;18%;90%; 
Beaver;#9F8170;62%;51%;44%;22°;20%;53%;35%;63%; 
Beige;#F5F5DC;96%;96%;86%;60°;56%;91%;10%;96%; 
Big dip o’ruby;#9C2542;61%;15%;26%;345°;62%;38%;76%;61%; 
Bisque;#FFE4C4;100%;89%;77%;33°;100%;88%;23%;100%; 
Bistre;#3D2B1F;24%;17%;12%;24°;33%;18%;49%;24%; 
Bitter lemon;#CAE00D;79%;88%;5%;66°;89%;47%;94%;88%; 
Bitter lime;#BFFF00;39%;55%;7%;79°;78%;31%;78%;84%; 
Bittersweet;#FE6F5E;100%;44%;37%;6°;99%;68%;63%;100%; 
Bittersweet shimmer;#BF4F51;75%;31%;32%;359°;47%;53%;59%;75%; 
Black;#000000;0%;0%;0%;—;0%;0%;0%;0%;Black
Black bean;#3D0C02;24%;5%;1%;10°;94%;12%;97%;24%; 
Black leather jacket;#253529;15%;21%;16%;135°;18%;18%;6%;18%; 
Black olive;#3B3C36;23%;24%;21%;70°;5%;22%;10%;24%; 
Blanched Almond;#FFEBCD;100%;92%;80%;36°;100%;90%;20%;100%; 
Blast-off bronze;#A57164;65%;44%;39%;12°;27%;52%;39%;65%; 
Bleu de France;#318CE7;19%;55%;91%;210°;79%;55%;79%;91%; 
Blizzard Blue;#ACE5EE;67%;90%;93%;188°;66%;80%;28%;93%; 
Blond;#FAF0BE;98%;94%;75%;50°;86%;86%;24%;98%; 
Blue;#0000FF;0%;0%;100%;240°;100%;50%;100%;100%;Blue
Blue (Crayola);#1F75FE;12%;46%;100%;213°;99%;56%;99%;100%; 
Blue (Munsell);#0093AF;0%;58%;69%;190°;100%;34%;100%;68%; 
Blue (NCS);#0087BD;0%;53%;74%;197°;100%;37%;100%;74%; 
Blue (pigment);#333399;20%;20%;60%;240°;50%;40%;67%;60%; 
Blue (RYB);#0247FE;1%;28%;100%;224°;99%;50%;99%;99%; 
Blue Bell;#A2A2D0;64%;64%;82%;240°;33%;73%;22%;81%; 
Blue-gray;#6699CC;40%;60%;80%;210°;50%;60%;50%;80%; 
Blue-green;#0D98BA;5%;60%;73%;192°;87%;39%;93%;73%; 
Blue sapphire;#126180;7%;38%;50%;197°;75%;29%;86%;50%; 
Blue-violet;#8A2BE2;54%;17%;89%;266°;76%;53%;81%;89%; 
Blush;#DE5D83;87%;36%;51%;342°;66%;62%;58%;87%; 
Bole;#79443B;47%;27%;23%;30°;34%;35%;24%;34%; 
Bondi blue;#0095B6;0%;58%;71%;191°;100%;36%;100%;71%; 
Bone;#E3DAC9;89%;85%;79%;48°;32%;84%;30%;95%; 
Boston University Red;#CC0000;80%;0%;0%;0°;100%;40%;100%;80%; 
Bottle green;#006A4E;0%;42%;31%;164°;100%;21%;100%;41%; 
Boysenberry;#873260;53%;20%;38%;328°;46%;36%;63%;53%; 
Brandeis blue;#0070FF;0%;44%;100%;214°;100%;50%;100%;100%; 
Brass;#B5A642;71%;65%;26%;52°;47%;48%;64%;71%; 
Brick red;#CB4154;80%;25%;33%;352°;57%;53%;68%;80%; 
Bright cerulean;#1DACD6;11%;67%;84%;194°;76%;48%;86%;84%; 
Bright green;#66FF00;40%;100%;0%;96°;100%;50%;100%;100%; 
Bright lavender;#BF94E4;75%;58%;89%;272°;60%;74%;35%;89%; 
Bright maroon;#C32148;76%;13%;28%;345°;71%;45%;75%;38%; 
Bright pink;#FF007F;100%;0%;50%;330°;100%;50%;100%;100%; 
Bright turquoise;#08E8DE;3%;91%;87%;177°;93%;47%;97%;91%; 
Bright ube;#D19FE8;82%;62%;91%;281°;61%;77%;31%;91%; 
Brilliant lavender;#F4BBFF;96%;73%;100%;290°;100%;87%;27%;100%; 
Brilliant rose;#FF55A3;100%;33%;64%;332°;100%;67%;67%;100%; 
Brink pink;#FB607F;98%;38%;50%;348°;95%;68%;62%;98%; 
British racing green;#004225;0%;26%;15%;154°;100%;13%;100%;26%; 
Bronze;#CD7F32;80%;50%;20%;30°;61%;50%;76%;80%; 
Bronze Yellow;#737000;45%;44%;0%;58°;100%;23%;100%;45%; 
Brown (traditional);#964B00;59%;29%;0%;30°;100%;29%;100%;59%; 
Brown (web);#A52A2A;65%;16%;16%;0°;59%;41%;75%;65%; 
Bubble gum;#FFC1CC;100%;76%;80%;349°;100%;88%;23%;99%; 
Bubbles;#E7FEFF;91%;100%;100%;183°;100%;95%;9%;100%; 
Buff;#F0DC82;94%;86%;51%;49°;79%;73%;46%;94%; 
Bulgarian rose;#480607;28%;2%;3%;359°;85%;15%;92%;28%; 
Burgundy;#800020;50%;0%;13%;345°;100%;25%;100%;50%; 
Burlywood;#DEB887;87%;72%;53%;34°;57%;70%;39%;87%; 
Burnt orange;#CC5500;80%;33%;0%;25°;100%;40%;100%;80%; 
Burnt sienna;#E97451;91%;45%;32%;14°;78%;62%;65%;91%; 
Burnt umber;#8A3324;54%;20%;14%;9°;59%;34%;74%;54%; 
Byzantine;#BD33A4;74%;20%;64%;311°;58%;47%;73%;74%; 
Byzantium;#702963;44%;16%;39%;311°;46%;30%;63%;44%; 
Cadet;#536872;33%;41%;45%;206°;16%;39%;31%;47%; 
Cadet blue;#5F9EA0;37%;62%;63%;182°;26%;50%;41%;63%; 
Cadet grey;#91A3B0;57%;64%;69%;205°;16%;63%;18%;69%; 
Cadmium green;#006B3C;0%;42%;24%;154°;100%;21%;100%;42%; 
Cadmium orange;#ED872D;93%;53%;18%;28°;84%;55%;81%;93%; 
Cadmium red;#E30022;89%;0%;13%;351°;100%;45%;100%;89%; 
Cadmium yellow;#FFF600;100%;96%;0%;34°;100%;50%;93%;100%; 
Café au lait;#A67B5B;65%;48%;36%;26°;30%;50%;45%;65%; 
Café noir;#4B3621;29%;21%;13%;30°;39%;21%;56%;29%; 
Cal Poly green;#1E4D2B;12%;30%;17%;137°;44%;21%;61%;30%; 
Cambridge Blue;#A3C1AD;64%;76%;68%;140°;20%;70%;40%;193%; 
Camel;#C19A6B;76%;60%;42%;33°;41%;59%;45%;76%; 
Cameo pink;#EFBBCC;94%;73%;80%;340°;62%;84%;22%;94%; 
Camouflage green;#78866B;47%;53%;42%;91°;11%;47%;20%;53%; 
Canary yellow;#FFEF00;100%;94%;0%;56°;100%;50%;100%;100%; 
Candy apple red;#FF0800;100%;3%;0%;2°;100%;50%;100%;100%; 
Candy pink;#E4717A;89%;44%;48%;355°;68%;67%;50%;89%; 
Capri;#00BFFF;0%;75%;100%;195°;100%;50%;100%;100%; 
Caput mortuum;#592720;35%;15%;13%;7°;47%;24%;64%;35%; 
Cardinal;#C41E3A;77%;12%;23%;350°;74%;44%;85%;77%; 
Caribbean green;#00CC99;0%;80%;60%;150°;100%;40%;100%;44%; 
Carmine;#960018;59%;0%;9%;350°;100%;29%;100%;59%; 
Carmine (M&P);#D70040;84%;0%;25%;342°;100%;42%;100%;84%; 
Carmine pink;#EB4C42;92%;30%;26%;4°;81%;59%;72%;92%; 
Carmine red;#FF0038;100%;0%;22%;347°;100%;50%;100%;100%; 
Carnation pink;#FFA6C9;100%;65%;79%;336°;100%;83%;35%;100%; 
Carnelian;#B31B1B;70%;11%;11%;0°;74%;40%;85%;70%; 
Carolina blue;#99BADD;60%;73%;87%;211°;50%;73%;31%;87%; 
Carrot orange;#ED9121;93%;57%;13%;33°;85%;53%;86%;93%; 
Castleton green;#00563F;0%;34%;25%;164°;100%;17%;100%;34%; 
Catalina blue;#062A78;2%;16%;47%;221°;91%;25%;95%;47%; 
Ceil;#92A1CF;57%;63%;81%;225°;39%;69%;30%;81%; 
Celadon;#ACE1AF;67%;88%;69%;174°;47%;78%;47%;73%; 
Celadon Blue;#007BA7;0%;48%;65%;196°;100%;33%;100%;65%; 
Celadon Green;#2F847C;18%;52%;49%;123°;48%;35%;24%;88%; 
Celeste (colour);#B2FFFF;70%;100%;100%;180°;100%;85%;30%;100%; 
Celestial blue;#4997D0;29%;59%;82%;205°;59%;55%;65%;81%; 
Cerise;#DE3163;87%;19%;39%;343°;72%;53%;78%;87%; 
Cerise pink;#EC3B83;93%;23%;51%;336°;82%;58%;75%;93%; 
Cerulean;#007BA7;0%;48%;65%;196°;100%;33%;100%;65%; 
Cerulean blue;#2A52BE;16%;32%;75%;224°;64%;46%;78%;75%; 
Cerulean frost;#6D9BC3;43%;61%;76%;208°;42%;60%;44%;77%; 
CG Blue;#007AA5;0%;48%;65%;196°;100%;32%;100%;65%; 
CG Red;#E03C31;88%;24%;19%;4°;74%;54%;78%;88%; 
Chamoisee;#A0785A;63%;47%;35%;26°;28%;49%;44%;63%; 
Champagne;#F7E7CE;97%;91%;81%;37°;72%;89%;17%;97%; 
Charcoal;#36454F;21%;27%;31%;204°;19%;26%;31%;31%; 
Charm pink;#E68FAC;90%;56%;67%;333°;64%;73%;50%;87%; 
Chartreuse (traditional);#DFFF00;87%;100%;0%;68°;100%;50%;100%;100%; 
Chartreuse (web);#7FFF00;50%;100%;0%;90°;100%;50%;100%;100%; 
Cherry;#DE3163;87%;19%;39%;343°;72%;53%;78%;87%; 
Cherry blossom pink;#FFB7C5;100%;72%;77%;348°;100%;86%;28%;100%; 
Chestnut;#CD5C5C;80%;36%;36%;0°;53%;58%;55%;80%; 
China pink;#DE6FA1;87%;44%;63%;333°;63%;65%;50%;87%; 
China rose;#A8516E;66%;32%;43%;340°;35%;49%;52%;66%; 
Chinese red;#AA381E;67%;22%;12%;11°;70%;39%;82%;67%; 
Chocolate (traditional);#7B3F00;48%;25%;0%;31°;100%;24%;100%;48%; 
Chocolate (web);#D2691E;82%;41%;12%;25°;75%;47%;86%;82%; 
Chrome yellow;#FFA700;100%;65%;0%;40°;100%;50%;100%;100%; 
Cinereous;#98817B;60%;51%;48%;12°;12%;54%;19%;60%; 
Cinnabar;#E34234;89%;26%;20%;5°;76%;55%;77%;89%; 
Cinnamon;#D2691E;82%;41%;12%;25°;75%;47%;86%;82%; 
Citrine;#E4D00A;89%;82%;4%;54°;92%;47%;96%;89%; 
Citron;#9FA91F;62%;66%;12%;64°;69%;39%;82%;66%; 
Claret;#7F1734;50%;9%;20%;343°;69%;29%;82%;50%; 
Classic rose;#FBCCE7;98%;80%;91%;333°;86%;89%;100%;20%; 
Cobalt;#0047AB;0%;28%;67%;215°;100%;34%;100%;67%; 
Cocoa brown;#D2691E;82%;41%;12%;25°;75%;47%;86%;82%; 
Coffee;#6F4E37;44%;31%;22%;25°;34%;33%;51%;44%; 
Columbia blue;#9BDDFF;61%;87%;100%;200°;100%;80%;39%;100%; 
Congo pink;#F88379;97%;51%;47%;5°;90%;72%;51%;97%; 
Cool black;#002E63;0%;18%;39%;212°;100%;19%;100%;39%; 
Cool grey;#8C92AC;55%;57%;67%;229°;16%;61%;19%;68%; 
Copper;#B87333;72%;45%;20%;29°;57%;46%;72%;72%; 
Copper (Crayola);#DA8A67;85%;54%;40%;18°;61%;63%;53%;85%; 
Copper penny;#AD6F69;68%;44%;41%;5°;29%;55%;39%;68%; 
Copper red;#CB6D51;80%;43%;32%;14°;54%;56%;60%;80%; 
Copper rose;#996666;60%;40%;40%;0°;20%;50%;33%;60%; 
Coquelicot;#FF3800;100%;22%;0%;13°;100%;50%;100%;100%; 
Coral;#FF7F50;100%;50%;31%;16°;100%;66%;69%;100%; 
Coral pink;#F88379;97%;51%;47%;5°;90%;72%;51%;97%; 
Coral red;#FF4040;100%;25%;25%;0°;100%;63%;75%;100%; 
Cordovan;#893F45;54%;25%;27%;337°;37%;39%;89%;94%; 
Corn;#FBEC5D;98%;93%;36%;54°;95%;68%;63%;98%; 
Cornell Red;#B31B1B;70%;11%;11%;0°;74%;40%;85%;70%; 
Cornflower blue;#6495ED;39%;58%;93%;219°;79%;66%;58%;93%; 
Cornsilk;#FFF8DC;100%;97%;86%;48°;100%;93%;14%;100%; 
Cosmic latte;#FFF8E7;100%;97%;91%;42°;100%;95%;9%;100%; 
Cotton candy;#FFBCD9;100%;74%;85%;334°;100%;87%;26%;100%; 
Cream;#FFFDD0;100%;99%;82%;57°;100%;91%;18%;100%; 
Crimson;#DC143C;86%;8%;24%;348°;83%;47%;91%;86%; 
Crimson glory;#BE0032;75%;0%;20%;356°;100%;37%;100%;75%; 
Cyan;#00FFFF;0%;100%;100%;180°;100%;50%;100%;100%;Cyan
Cyan (process);#00B7EB;0%;72%;92%;193°;100%;46%;100%;92%; 
Daffodil;#FFFF31;100%;100%;19%;60°;100%;60%;81%;100%; 
Dandelion;#F0E130;94%;88%;19%;55°;87%;57%;80%;94%; 
Dark blue;#00008B;0%;0%;55%;240°;100%;27%;100%;55%; 
Dark blue-gray;#666699;40%;40%;60%;240°;20%;50%;33%;60%; 
Dark brown;#654321;40%;26%;13%;30°;51%;26%;67%;40%; 
Dark byzantium;#5D3954;36%;22%;33%;315°;24%;29%;39%;37%; 
Dark candy apple red;#A40000;64%;0%;0%;0°;100%;32%;100%;64%; 
Dark cerulean;#08457E;3%;27%;49%;209°;88%;26%;94%;49%; 
Dark chestnut;#986960;60%;41%;38%;10°;23%;49%;37%;60%; 
Dark coral;#CD5B45;80%;36%;27%;10°;58%;54%;66%;80%; 
Dark cyan;#008B8B;0%;55%;55%;180°;100%;27%;24%;100%; 
Dark electric blue;#536878;33%;41%;47%;180°;18%;40%;20%;25%; 
Dark goldenrod;#B8860B;72%;53%;4%;43°;89%;38%;94%;72%; 
Dark gray;#A9A9A9;66%;66%;66%;0°;0%;66%;0%;66%; 
Dark green;#013220;0%;20%;13%;158°;96%;10%;98%;20%; 
Dark imperial blue;#00416A;0%;25%;42%;203°;100%;21%;100%;42%; 
Dark jungle green;#1A2421;10%;14%;13%;120°;16%;12%;10%;10%; 
Dark khaki;#BDB76B;74%;72%;42%;56°;38%;58%;43%;74%; 
Dark lava;#483C32;28%;24%;20%;27°;18%;24%;31%;28%; 
Dark lavender;#734F96;45%;31%;59%;270°;31%;45%;47%;59%; 
Dark magenta;#8B008B;55%;0%;55%;300°;100%;27%;100%;55%; 
Dark midnight blue;#003366;0%;20%;40%;210°;100%;20%;100%;40%; 
Dark olive green;#556B2F;33%;42%;18%;82°;39%;30%;56%;42%; 
Dark orange;#FF8C00;100%;55%;0%;34°;100%;50%;100%;94%; 
Dark orchid;#9932CC;60%;20%;80%;280°;61%;50%;75%;80%; 
Dark pastel blue;#779ECB;47%;62%;80%;212°;45%;63%;41%;80%; 
Dark pastel green;#03C03C;1%;75%;24%;138°;97%;38%;98%;75%; 
Dark pastel purple;#966FD6;59%;44%;84%;263°;56%;64%;48%;84%; 
Dark pastel red;#C23B22;76%;23%;13%;9°;70%;45%;82%;76%; 
Dark pink;#E75480;91%;33%;50%;342°;75%;62%;64%;91%; 
Dark powder blue;#003399;0%;20%;60%;220°;100%;30%;70%;60%; 
Dark raspberry;#872657;53%;15%;34%;330°;56%;34%;72%;53%; 
Dark red;#8B0000;55%;0%;0%;0°;100%;27%;100%;56%; 
Dark salmon;#E9967A;91%;59%;48%;15°;72%;70%;48%;91%; 
Dark scarlet;#560319;34%;1%;10%;344°;93%;18%;97%;34%; 
Dark sea green;#8FBC8F;56%;74%;56%;120°;25%;65%;24%;74%; 
Dark sienna;#3C1414;24%;8%;8%;0°;50%;16%;67%;24%; 
Dark slate blue;#483D8B;28%;24%;55%;248°;39%;39%;56%;55%; 
Dark slate gray;#2F4F4F;18%;31%;31%;180°;25%;25%;41%;31%; 
Dark spring green;#177245;9%;45%;27%;150°;66%;27%;80%;45%; 
Dark tan;#918151;57%;51%;32%;45°;28%;44%;44%;57%; 
Dark tangerine;#FFA812;100%;66%;7%;38°;100%;54%;93%;100%; 
Dark taupe;#483C32;28%;24%;20%;30°;18%;24%;17%;34%; 
Dark terra cotta;#CC4E5C;80%;31%;36%;354°;55%;55%;55%;55%; 
Dark turquoise;#00CED1;0%;81%;82%;181°;100%;41%;100%;82%; 
Dark vanilla;#D1BEA8;82%;75%;66%;32°;31%;74%;20%;82%; 
Dark violet;#9400D3;58%;0%;83%;282°;100%;41%;100%;83%; 
Dark yellow;#9B870C;61%;53%;5%;295°;86%;33%;105%;87%; 
Dartmouth green;#00703C;0%;44%;24%;121°;100%;22%;90%;50%; 
Davy's grey;#555555;33%;33%;33%;0°;0%;33%;0%;33%; 
Debian red;#D70A53;84%;4%;33%;339°;91%;44%;95%;84%; 
Deep carmine;#A9203E;66%;13%;24%;357°;68%;39%;100%;66%; 
Deep carmine pink;#EF3038;94%;19%;22%;357°;86%;56%;80%;94%; 
Deep carrot orange;#E9692C;91%;41%;17%;34°;81%;54%;76%;84%; 
Deep cerise;#DA3287;85%;20%;53%;330°;69%;53%;77%;85%; 
Deep champagne;#FAD6A5;98%;84%;65%;35°;90%;81%;34%;98%; 
Deep chestnut;#B94E48;73%;31%;28%;3°;45%;50%;61%;73%; 
Deep coffee;#704241;44%;26%;25%;1°;27%;35%;42%;44%; 
Deep fuchsia;#C154C1;76%;33%;76%;300°;47%;54%;56%;76%; 
Deep jungle green;#004B49;0%;29%;29%;120°;100%;15%;40%;40%; 
Deep lilac;#9955BB;60%;33%;73%;280°;43%;53%;55%;73%; 
Deep magenta;#CC00CC;80%;0%;80%;300°;100%;40%;100%;80%; 
Deep mauve;#D473D4;83%;45%;83%;300°;53%;64%;46%;83%; 
Deep peach;#FFCBA4;100%;80%;64%;26°;100%;82%;36%;100%; 
Deep pink;#FF1493;100%;8%;58%;328°;100%;54%;92%;100%; 
Deep ruby;#843F5B;52%;25%;36%;336°;35%;38%;52%;52%; 
Deep saffron;#FF9933;100%;60%;20%;30°;100%;60%;80%;100%; 
Deep sky blue;#00BFFF;0%;75%;100%;195°;100%;50%;100%;100%; 
Deep Taupe;#7E5E60;49%;37%;38%;356°;15%;43%;25%;49%; 
Deep Tuscan red;#66424D;40%;26%;30%;342°;21%;33%;35%;40%; 
Deer;#BA8759;73%;53%;35%;28°;41%;54%;52%;73%; 
Denim;#1560BD;8%;38%;74%;213°;80%;41%;89%;74%; 
Desert;#C19A6B;76%;60%;42%;33°;41%;59%;44%;76%; 
Desert sand;#EDC9AF;93%;79%;69%;25°;63%;81%;26%;93%; 
Diamond;#7D1242;73%;95%;100%;190°;100%;86%;100%;100%; 
Dim gray;#696969;41%;41%;41%;—;0%;41%;0%;41%; 
Dodger blue;#1E90FF;12%;56%;100%;210°;100%;56%;88%;100%; 
Dogwood rose;#D71868;84%;9%;41%;330°;80%;47%;84%;82%; 
Dollar bill;#85BB65;52%;73%;40%;98°;39%;57%;46%;73%; 
Drab;#967117;59%;44%;9%;43°;73%;34%;85%;59%; 
Duke blue;#00009C;0%;0%;61%;240°;100%;31%;100%;61%; 
Dust storm;#E5CCC9;90%;80%;79%;6°;35%;84%;12%;90%; 
Earth yellow;#E1A95F;88%;66%;37%;34°;68%;63%;58%;88%; 
Ebony;#555D50;33%;36%;31%;97°;8%;34%;14%;37%; 
Ecru;#C2B280;76%;70%;50%;45°;35%;63%;34%;76%; 
Eggplant;#614051;38%;25%;32%;329°;21%;32%;34%;38%; 
Eggshell;#F0EAD6;94%;92%;84%;46°;46%;89%;11%;94%; 
Egyptian blue;#1034A6;6%;20%;65%;226°;82%;36%;90%;65%; 
Electric blue;#7DF9FF;49%;98%;100%;183°;100%;75%;51%;100%; 
Electric crimson;#FF003F;100%;0%;25%;345°;100%;50%;100%;100%; 
Electric cyan;#00FFFF;0%;100%;100%;180°;100%;50%;100%;100%; 
Electric green;#00FF00;0%;100%;0%;120°;100%;50%;100%;100%; 
Electric indigo;#6F00FF;44%;0%;100%;266°;100%;50%;100%;100%; 
Electric lavender;#F4BBFF;96%;73%;100%;290°;100%;87%;27%;100%; 
Electric lime;#CCFF00;80%;100%;0%;72°;100%;50%;100%;100%; 
Electric purple;#BF00FF;75%;0%;100%;285°;100%;50%;100%;100%; 
Electric ultramarine;#3F00FF;25%;0%;100%;255°;100%;50%;100%;100%; 
Electric violet;#8F00FF;56%;0%;100%;274°;100%;50%;100%;100%; 
Electric yellow;#FFFF00;100%;100%;0%;60°;100%;50%;100%;100%; 
Emerald;#50C878;31%;78%;47%;140°;52%;55%;60%;78%; 
English lavender;#B48395;71%;51%;58%;338°;25%;61%;27%;71%; 
Eton blue;#96C8A2;59%;78%;64%;134°;31%;69%;25%;78%; 
Fallow;#C19A6B;76%;60%;42%;45°;41%;59%;17%;23%; 
