Name;Hex triplet;Red;Green;Blue;Hue;Satur;Light;Satur;Value;W3C name
Pale taupe;#BC987E;74%;60%;49%;25°;32%;62%;33%;74%; 
Pale violet-red;#DB7093;86%;44%;58%;340°;60%;65%;49%;86%; 
Pansy purple;#78184A;47%;9%;29%;287°;67%;28%;36%;27%; 
Papaya whip;#FFEFD5;100%;94%;84%;37°;100%;92%;16%;100%; 
Paris Green;#50C878;31%;78%;47%;140°;52%;55%;60%;78%; 
Pastel blue;#AEC6CF;68%;78%;81%;196°;26%;75%;16%;81%; 
Pastel brown;#836953;51%;41%;33%;28°;22%;42%;37%;51%; 
Pastel gray;#CFCFC4;81%;81%;77%;60°;10%;79%;5%;81%; 
Pastel green;#77DD77;47%;87%;47%;120°;60%;67%;46%;87%; 
Pastel magenta;#F49AC2;96%;60%;76%;333°;80%;78%;37%;96%; 
Pastel orange;#FFB347;100%;70%;28%;35°;100%;64%;72%;100%; 
Pastel pink;#DEA5A4;87%;65%;64%;1°;47%;76%;26%;87%; 
Pastel purple;#B39EB5;70%;62%;71%;295°;14%;67%;13%;71%; 
Pastel red;#FF6961;100%;41%;38%;3°;100%;69%;62%;100%; 
Pastel violet;#CB99C9;80%;60%;79%;302°;33%;70%;25%;80%; 
Pastel yellow;#FDFD96;99%;99%;59%;60°;96%;79%;41%;99%; 
Patriarch;#800080;50%;0%;50%;300°;100%;25%;100%;50%; 
Payne's grey;#536878;33%;41%;47%;206°;18%;40%;31%;47%; 
Peach;#FFE5B4;100%;90%;71%;39°;100%;85%;29%;100%; 
Peach (Crayola);#FFCBA4;100%;80%;64%;40°;100%;82%;34%;100%; 
Peach-orange;#FFCC99;100%;80%;60%;30°;100%;80%;40%;100%; 
Peach puff;#FFDAB9;100%;85%;73%;40°;100%;86%;29%;100%; 
Peach-yellow;#FADFAD;98%;87%;68%;39°;89%;83%;31%;98%; 
Pear;#D1E231;82%;89%;19%;66°;75%;54%;78%;89%; 
Pearl;#EAE0C8;92%;88%;78%;42°;45%;85%;15%;92%; 
Pearl Aqua;#88D8C0;53%;85%;75%;162°;51%;69%;37%;85%; 
Pearly purple;#B768A2;72%;41%;64%;316°;35%;56%;43%;72%; 
Peridot;#E6E200;90%;89%;0%;59°;100%;45%;100%;90%; 
Periwinkle;#CCCCFF;80%;80%;100%;240°;100%;90%;20%;100%; 
Persian blue;#1C39BB;11%;22%;73%;248°;74%;42%;75%;50%; 
Persian green;#00A693;0%;65%;58%;135°;100%;33%;75%;60%; 
Persian indigo;#32127A;20%;7%;48%;249°;74%;28%;85%;49%; 
Persian orange;#D99058;85%;56%;35%;26°;63%;60%;59%;85%; 
Persian pink;#F77FBE;97%;50%;75%;330°;88%;73%;72%;77%; 
Persian plum;#701C1C;44%;11%;11%;0°;60%;28%;75%;44%; 
Persian red;#CC3333;80%;20%;20%;5°;60%;50%;50%;50%; 
Persian rose;#FE28A2;100%;16%;64%;318°;99%;58%;96%;88%; 
Persimmon;#EC5800;93%;35%;0%;22°;100%;46%;85%;94%; 
Peru;#CD853F;80%;52%;25%;30°;59%;53%;69%;80%; 
Phlox;#DF00FF;87%;0%;100%;292°;100%;50%;100%;100%; 
Phthalo blue;#000F89;0%;6%;54%;233°;100%;27%;100%;54%; 
Phthalo green;#123524;7%;21%;14%;151°;49%;14%;66%;21%; 
Piggy pink;#FDDDE6;99%;87%;90%;343°;89%;93%;13%;99%; 
Pine green;#01796F;0%;47%;44%;175°;98%;24%;99%;47%; 
Pink;#FFC0CB;100%;75%;80%;350°;100%;88%;25%;100%; 
Pink lace;#FFDDF4;100%;87%;96%;3°;100%;93%;41%;84%; 
Pink-orange;#FF9966;100%;60%;40%;20°;100%;70%;60%;100%; 
Pink pearl;#E7ACCF;91%;67%;81%;324°;55%;79%;26%;91%; 
Pink Sherbet;#F78FA7;97%;56%;65%;346°;87%;77%;42%;97%; 
Pistachio;#93C572;58%;77%;45%;96°;42%;61%;42%;77%; 
Platinum;#E5E4E2;90%;89%;89%;40°;6%;89%;1%;90%; 
Plum (traditional);#8E4585;56%;27%;52%;307°;35%;41%;51%;56%; 
Plum (web);#DDA0DD;80%;60%;80%;300°;33%;70%;28%;87%; 
Pomp and Power;#86608E;53%;38%;56%;290°;19%;47%;32%;56%; 
Portland Orange;#FF5A36;100%;35%;21%;11°;100%;61%;79%;100%; 
Powder blue (web);#B0E0E6;69%;88%;90%;220°;52%;80%;70%;90%; 
Princeton orange;#FF8F00;100%;56%;0%;34°;100%;50%;100%;100%; 
Prune;#701C1C;44%;11%;11%;0°;60%;28%;75%;44%; 
Prussian blue;#003153;0%;19%;33%;205°;100%;16%;100%;33%; 
Psychedelic purple;#DF00FF;87%;0%;100%;292°;100%;50%;100%;100%; 
Puce;#CC8899;80%;53%;60%;345°;40%;67%;33%;80%; 
Pumpkin;#FF7518;100%;46%;9%;24°;100%;55%;90%;100%; 
Purple (HTML/CSS);#800080;50%;0%;50%;300°;100%;25%;100%;50%;Purple
Purple (Munsell);#9F00C5;62%;0%;77%;288°;100%;39%;100%;77%; 
Purple (X11);#A020F0;63%;13%;94%;285°;87%;53%;97%;77%; 
Purple Heart;#69359C;41%;21%;61%;270°;49%;41%;66%;61%; 
Purple mountain majesty;#9678B6;59%;47%;71%;260°;30%;59%;34%;71%; 
Purple pizzazz;#FE4EDA;100%;31%;85%;312°;99%;65%;69%;100%; 
Purple taupe;#50404D;31%;25%;30%;285°;11%;28%;19%;33%; 
Quartz;#51484F;32%;28%;31%;345°;6%;30%;84%;84%; 
Queen blue;#436B95;26%;42%;58%;211°;38%;42%;56%;58%; 
Queen pink;#E8CCD7;91%;80%;84%;336°;38%;86%;12%;91%; 
Rackley;#5D8AA8;36%;54%;66%;204°;30%;51%;45%;66%; 
Radical Red;#FF355E;100%;21%;37%;345°;100%;60%;84%;84%; 
Rajah;#FBAB60;98%;68%;38%;29°;95%;68%;62%;98%; 
Raspberry;#E30B5D;89%;4%;36%;337°;91%;47%;95%;89%; 
Raspberry glace;#915F6D;57%;37%;43%;333°;21%;47%;35%;57%; 
Raspberry pink;#E25098;89%;31%;60%;330°;72%;60%;65%;89%; 
Raspberry rose;#B3446C;70%;27%;42%;38°;45%;48%;62%;70%; 
Raw umber;#826644;51%;40%;27%;33°;31%;39%;48%;51%; 
Razzle dazzle rose;#FF33CC;100%;20%;80%;312°;100%;60%;51%;204%; 
Razzmatazz;#E3256B;89%;15%;42%;338°;77%;52%;84%;89%; 
Red;#FF0000;100%;0%;0%;0°;100%;50%;100%;100%;Red
Red (Munsell);#F2003C;95%;0%;24%;345°;100%;48%;100%;95%; 
Red (NCS);#C40233;77%;1%;20%;358°;98%;39%;88%;93%; 
Red (pigment);#ED1C24;93%;11%;14%;0°;85%;52%;100%;65%; 
Red (RYB);#FE2712;100%;15%;7%;0°;99%;53%;100%;87%; 
Red-brown;#A52A2A;65%;16%;16%;0°;59%;41%;75%;65%; 
Red devil;#860111;53%;0%;7%;353°;99%;27%;99%;53%; 
Red-orange;#FF5349;100%;33%;29%;3°;100%;64%;71%;100%; 
Red-violet;#C71585;78%;8%;52%;322°;81%;43%;89%;78%; 
Redwood;#AB4E52;67%;31%;32%;348°;37%;49%;54%;67%; 
Regalia;#522D80;32%;18%;50%;267°;48%;34%;65%;50%; 
Resolution blue;#002387;0%;14%;53%;224°;100%;27%;100%;53%; 
Rhythm;#777696;47%;46%;59%;242°;13%;53%;21%;58%; 
Rich black;#004040;0%;25%;25%;180°;100%;13%;100%;25%; 
Rich brilliant lavender;#F1A7FE;95%;65%;100%;291°;98%;83%;34%;100%; 
Rich carmine;#D70040;84%;0%;25%;342°;100%;42%;100%;84%; 
Rich electric blue;#0892D0;3%;57%;82%;180°;93%;42%;35%;75%; 
Rich lavender;#A76BCF;65%;42%;81%;270°;51%;62%;78%;47%; 
Rich lilac;#B666D2;71%;40%;82%;284°;55%;61%;51%;82%; 
Rich maroon;#B03060;69%;19%;38%;333°;57%;44%;65%;42%; 
Rifle green;#414833;25%;28%;20%;80°;17%;24%;29%;28%; 
Robin egg blue;#00CCCC;0%;80%;80%;180°;100%;40%;100%;80%; 
Rocket metallic;#8A7F80;54%;51%;55%;287°;5%;53%;10%;55%; 
Roman silver;#838996;51%;54%;59%;221°;8%;55%;13%;59%; 
Rose;#FF007F;100%;0%;50%;330°;100%;50%;100%;100%; 
Rose bonbon;#F9429E;98%;26%;62%;330°;94%;62%;74%;98%; 
Rose ebony;#674846;40%;28%;27%;340°;19%;34%;17%;20%; 
Rose gold;#B76E79;72%;43%;47%;340°;34%;58%;32%;62%; 
Rose madder;#E32636;89%;15%;21%;355°;77%;52%;83%;89%; 
Rose pink;#FF66CC;100%;40%;80%;330°;100%;70%;77%;84%; 
Rose quartz;#AA98A9;67%;60%;66%;330°;10%;63%;12%;50%; 
Rose taupe;#905D5D;56%;36%;36%;330°;22%;47%;42%;46%; 
Rose vale;#AB4E52;67%;31%;32%;348°;37%;49%;54%;67%; 
Rosewood;#65000B;40%;0%;4%;333°;100%;20%;75%;7%; 
Rosso corsa;#D40000;83%;0%;0%;0°;100%;42%;100%;83%; 
Rosy brown;#BC8F8F;74%;56%;56%;359°;25%;65%;25%;63%; 
Royal azure;#0038A8;0%;22%;66%;220°;100%;33%;100%;66%; 
Royal blue (traditional);#002366;0%;14%;40%;219°;100%;20%;100%;20%; 
Royal blue (web);#4169E1;25%;41%;88%;225°;73%;57%;71%;88%; 
Royal fuchsia;#CA2C92;79%;17%;57%;290°;64%;48%;67%;44%; 
Royal purple;#7851A9;47%;32%;66%;267°;35%;49%;52%;66%; 
Royal yellow;#FADA5E;98%;85%;37%;48°;94%;68%;62%;98%; 
Ruber;#CE4676;81%;27%;46%;339°;58%;54%;66%;81%; 
Rubine red;#D10056;82%;0%;34%;335°;100%;41%;100%;82%; 
Ruby;#E0115F;88%;7%;37%;337°;86%;47%;92%;88%; 
Ruby red;#9B111E;61%;7%;12%;354°;80%;34%;89%;61%; 
Ruddy;#FF0028;100%;0%;16%;351°;100%;50%;100%;100%; 
Ruddy brown;#BB6528;73%;40%;16%;25°;65%;45%;79%;73%; 
Ruddy pink;#E18E96;88%;56%;59%;354°;58%;72%;37%;88%; 
Rufous;#A81C07;66%;11%;3%;8°;92%;34%;96%;66%; 
Russet;#80461B;50%;27%;11%;25°;65%;30%;78%;50%; 
Rust;#B7410E;72%;25%;5%;18°;86%;39%;92%;72%; 
Rusty red;#DA2C43;85%;17%;26%;352°;70%;51%;80%;86%; 
Sacramento State green;#00563F;0%;34%;25%;164°;100%;17%;100%;34%; 
Saddle brown;#8B4513;55%;27%;7%;25°;76%;31%;86%;55%; 
Safety orange (blaze orange);#FF6700;100%;40%;0%;24°;100%;50%;100%;100%; 
Saffron;#F4C430;96%;77%;19%;45°;90%;57%;80%;96%; 
St. Patrick's blue;#23297A;14%;16%;48%;236°;55%;31%;0%;52%; 
Salmon;#FF8C69;100%;55%;41%;14°;100%;71%;59%;100%; 
Salmon pink;#FF91A4;100%;57%;64%;14°;100%;78%;62%;100%; 
Sand;#C2B280;76%;70%;50%;45°;35%;63%;34%;76%; 
Sand dune;#967117;59%;44%;9%;43°;73%;34%;85%;59%; 
Sandstorm;#ECD540;93%;84%;25%;52°;82%;59%;73%;93%; 
Sandy brown;#F4A460;96%;64%;38%;28°;87%;67%;61%;96%; 
Sandy taupe;#967117;59%;44%;9%;43°;73%;34%;85%;59%; 
Sangria;#92000A;57%;0%;4%;356°;100%;29%;100%;57%; 
Sap green;#507D2A;31%;49%;16%;93°;50%;33%;66%;49%; 
Sapphire;#0F52BA;6%;32%;73%;216°;85%;39%;91%;73%; 
Sapphire blue;#0067A5;0%;40%;65%;203°;100%;32%;100%;65%; 
Satin sheen gold;#CBA135;80%;63%;21%;49°;59%;50%;74%;76%; 
Scarlet;#FF2400;100%;14%;0%;8°;100%;50%;100%;100%; 
Scarlet (Crayola);#FD0E35;99%;5%;21%;350°;98%;52%;95%;99%; 
Schauss pink;#FF91AF;100%;57%;69%;344°;100%;78%;43%;100%; 
School bus yellow;#FFD800;100%;85%;0%;51°;100%;50%;100%;100%; 
Screamin' Green;#76FF7A;46%;100%;44%;122°;100%;72%;54%;100%; 
Sea blue;#006994;0%;41%;58%;209°;100%;29%;100%;100%; 
Sea green;#2E8B57;18%;100%;55%;87°;100%;59%;77%;55%; 
Seal brown;#321414;20%;8%;8%;0°;43%;14%;60%;20%; 
Seashell;#FFF5EE;100%;96%;93%;25°;100%;97%;7%;100%; 
Selective yellow;#FFBA00;100%;73%;0%;44°;100%;50%;100%;100%; 
Sepia;#704214;44%;26%;8%;30°;70%;26%;82%;44%; 
Shadow;#8A795D;54%;47%;36%;37°;20%;45%;33%;54%; 
Shamrock green;#009E60;0%;62%;38%;120°;100%;31%;91%;75%; 
Shocking pink;#FC0FC0;99%;6%;75%;315°;98%;52%;94%;99%; 
Shocking pink (Crayola);#FF6FFF;100%;44%;100%;300°;100%;72%;48%;83%; 
Sienna;#882D17;53%;18%;9%;12°;71%;31%;83%;53%; 
Silver;#C0C0C0;75%;75%;75%;0°;0%;75%;0%;75%;Silver
Silver chalice;#ACACAC;67%;67%;67%;—;0%;68%;0%;68%; 
Silver pink;#C4AEAD;75%;68%;68%;3°;12%;71%;12%;77%; 
Silver sand;#BFC1C2;75%;76%;76%;200°;2%;76%;2%;76%; 
Sinopia;#CB410B;80%;25%;4%;17°;90%;42%;95%;80%; 
Skobeloff;#007474;0%;45%;45%;140°;100%;23%;97%;44%; 
Sky blue;#87CEEB;53%;81%;92%;210°;71%;73%;67%;96%; 
Sky magenta;#CF71AF;81%;44%;69%;304°;50%;63%;87%;54%; 
Slate blue;#6A5ACD;42%;35%;80%;248°;54%;58%;56%;80%; 
Slate gray;#708090;44%;50%;56%;210°;13%;50%;22%;56%; 
Smalt (Dark powder blue);#003399;0%;20%;60%;200°;100%;30%;70%;60%; 
Smitten;#C84186;78%;25%;53%;329°;55%;52%;68%;78%; 
Smokey topaz;#933D41;58%;24%;25%;357°;41%;41%;59%;58%; 
Smoky black;#100C08;6%;5%;3%;30°;33%;5%;50%;6%; 
Snow;#FFFAFA;100%;98%;98%;0°;100%;99%;1%;100%; 
Sonic silver;#757575;46%;46%;46%;—;0%;46%;0%;46%; 
Space cadet;#1D2951;11%;16%;32%;226°;47%;22%;64%;32%; 
Spanish carmine;#D10047;82%;0%;28%;340°;100%;41%;100%;82%; 
Spanish orange;#E86100;91%;38%;0%;25°;100%;46%;100%;91%; 
Spiro Disco Ball;#0FC0FC;6%;75%;99%;195°;98%;52%;94%;99%; 
Spring bud;#A7FC00;65%;99%;0%;88°;100%;49%;90%;63%; 
Spring green;#00FF7F;0%;100%;50%;150°;100%;50%;100%;100%; 
Star command blue;#007BBB;0%;48%;72%;200°;100%;36%;100%;72%; 
Steel blue;#4682B4;27%;51%;71%;207°;44%;49%;61%;71%; 
Steel pink;#CC3366;80%;20%;80%;300°;60%;50%;75%;80%; 
Stil de grain yellow;#FADA5E;98%;85%;37%;48°;94%;68%;62%;98%; 
Stizza;#990000;60%;0%;0%;0°;100%;30%;100%;60%; 
Stormcloud;#4F666A;31%;40%;42%;189°;15%;36%;14%;67%; 
Straw;#E4D96F;89%;85%;44%;54°;68%;67%;51%;89%; 
Sunglow;#FFCC33;100%;80%;20%;50°;100%;60%;99%;98%; 
Sunset;#FAD6A5;98%;84%;65%;35°;90%;81%;34%;98%; 
Super pink;#CF6BA9;81%;42%;66%;323°;51%;62%;48%;81%; 
Tan;#D2B48C;82%;71%;55%;34°;44%;69%;33%;82%;Tan
Tangelo;#F94D00;98%;30%;0%;23°;100%;49%;100%;90%; 
Tangerine;#F28500;95%;52%;0%;33°;100%;48%;100%;95%; 
Tangerine yellow;#FFCC00;100%;80%;0%;48°;100%;50%;100%;100%; 
Tango pink;#E4717A;89%;44%;48%;355°;68%;67%;50%;89%; 
Taupe;#483C32;28%;24%;20%;30°;18%;24%;17%;34%; 
Taupe gray;#8B8589;55%;52%;54%;30°;3%;53%;1%;60%; 
Tea green;#D0F0C0;82%;94%;75%;100°;62%;85%;20%;94%; 
Tea rose (orange);#F88379;97%;51%;47%;5°;90%;72%;51%;97%; 
Tea rose (rose);#F4C2C2;96%;76%;76%;0°;69%;86%;20%;96%; 
Teal;#008080;0%;50%;50%;180°;100%;25%;100%;50%;Teal
Teal deer;#99E6B3;60%;90%;70%;140°;61%;75%;33%;90%; 
Teal blue;#367588;21%;46%;53%;194°;43%;37%;50%;53%; 
Teal green;#00827F;0%;51%;50%;179°;100%;26%;100%;47%; 
Telemagenta;#CF3476;81%;20%;46%;334°;62%;51%;75%;81%; 
Tenné (Tawny);#CD5700;80%;34%;0%;25°;100%;40%;100%;80%; 
Terra cotta;#E2725B;89%;45%;36%;10°;70%;62%;60%;89%; 
Thistle;#D8BFD8;85%;75%;85%;300°;24%;80%;12%;85%; 
Thulian pink;#DE6FA1;87%;44%;63%;330°;63%;65%;82%;92%; 
Tickle Me Pink;#FC89AC;99%;54%;67%;342°;95%;76%;46%;99%; 
Tiffany Blue;#0ABAB5;4%;73%;71%;178°;90%;38%;95%;73%; 
Tiger's eye;#E08D3C;88%;55%;24%;30°;73%;56%;73%;88%; 
Timberwolf;#DBD7D2;86%;84%;82%;33°;11%;84%;4%;86%; 
Titanium yellow;#EEE600;93%;90%;0%;58°;100%;47%;100%;93%; 
Tomato;#FF6347;100%;39%;28%;15°;100%;64%;75%;50%; 
Toolbox;#746CC0;45%;42%;75%;174°;40%;59%;102%;150%; 
Topaz;#FFC87C;100%;78%;49%;345°;100%;74%;84%;84%; 
Tractor red;#FD0E35;99%;5%;21%;350°;98%;52%;94%;99%; 
Trolley Grey;#808080;50%;50%;50%;—;0%;50%;0%;50%; 
Tropical rain forest;#00755E;0%;46%;37%;120°;100%;23%;70%;60%; 
True Blue;#0073CF;0%;45%;81%;207°;100%;41%;100%;81%; 
Tufts Blue;#417DC1;25%;49%;76%;208°;51%;51%;70%;100%; 
Tumbleweed;#DEAA88;87%;67%;53%;24°;57%;70%;39%;87%; 
Turkish rose;#B57281;71%;45%;51%;340°;31%;58%;100%;25%; 
Turquoise;#30D5C8;19%;84%;78%;175°;66%;51%;77%;84%;Turquoise
Turquoise blue;#00FFEF;0%;100%;94%;176°;100%;50%;100%;100%; 
Turquoise green;#A0D6B4;63%;84%;71%;142°;40%;73%;25%;84%; 
Tuscan;#FAD6A5;98%;84%;65%;35°;90%;81%;34%;98%; 
Tuscan brown;#6F4E37;44%;31%;22%;25°;34%;33%;51%;44%; 
Tuscan red;#7C4848;49%;19%;19%;0°;44%;34%;61%;49%; 
Tuscan tan;#A67B5B;63%;48%;36%;26°;28%;49%;46%;65%; 
Tuscany;#C09999;75%;60%;60%;0°;24%;68%;20%;75%; 
Twilight lavender;#8A496B;54%;29%;42%;329°;31%;41%;47%;89%; 
Tyrian purple;#66023C;40%;1%;24%;277°;96%;20%;67%;44%; 
UA blue;#0033AA;0%;20%;67%;222°;100%;33%;100%;67%; 
UA red;#D9004C;85%;0%;30%;359°;100%;43%;100%;85%; 
Ube;#8878C3;53%;47%;76%;253°;39%;62%;39%;77%; 
UCLA Blue;#536895;33%;41%;58%;221°;28%;46%;44%;58%; 
UCLA Gold;#FFB300;100%;70%;0%;42°;100%;50%;100%;100%; 
UFO Green;#3CD070;24%;82%;44%;141°;61%;53%;71%;82%; 
Ultramarine;#120A8F;7%;4%;56%;244°;87%;30%;93%;56%; 
Ultramarine blue;#4166F5;25%;40%;96%;228°;90%;61%;74%;96%; 
Ultra pink;#FF6FFF;100%;44%;100%;300°;100%;72%;48%;83%; 
Umber;#635147;39%;32%;28%;21°;17%;33%;28%;39%; 
Unbleached silk;#FFDDCA;100%;87%;79%;22°;100%;90%;21%;100%; 
United Nations blue;#5B92E5;36%;57%;90%;210°;73%;63%;60%;90%; 
University of California Gold;#B78727;72%;53%;15%;40°;65%;44%;79%;72%; 
Unmellow Yellow;#FFFF66;100%;100%;40%;60°;100%;70%;60%;100%; 
UP Forest green;#014421;0%;27%;13%;149°;97%;14%;99%;27%; 
UP Maroon;#7B1113;48%;7%;7%;359°;76%;28%;86%;48%; 
Upsdell red;#AE2029;68%;13%;16%;356°;69%;40%;82%;68%; 
Urobilin;#E1AD21;88%;68%;13%;44°;76%;51%;85%;88%; 
USAFA blue;#004F98;0%;31%;60%;209°;100%;30%;100%;60%; 
USC Cardinal;#990000;60%;0%;0%;0°;100%;30%;100%;60%; 
USC Gold;#FFCC00;100%;80%;0%;48°;100%;50%;100%;100%; 
University of Tennessee Orange;#F77F00;97%;50%;0%;31°;100%;48%;100%;97%; 
Utah Crimson;#D3003F;83%;0%;25%;342°;100%;41%;100%;83%; 
Vanilla;#F3E5AB;95%;90%;67%;48°;75%;81%;30%;95%; 
Vanilla ice;#F3D9DF;95%;56%;66%;346°;81%;76%;11%;95%; 
Vegas gold;#C5B358;77%;70%;35%;50°;48%;56%;55%;77%; 
Venetian red;#C80815;78%;3%;8%;0°;92%;41%;84%;84%; 
Verdigris;#43B3AE;26%;70%;68%;177°;46%;48%;63%;70%; 
Vermilion (cinnabar);#E34234;89%;26%;20%;5°;76%;55%;77%;89%; 
Vermilion (Plochere);#D9603B;85%;22%;12%;11°;76%;48%;82%;67%; 
Veronica;#A020F0;63%;13%;94%;285°;87%;53%;97%;77%; 
Violet;#8F00FF;56%;0%;100%;274°;100%;50%;100%;100%; 
Violet (color wheel);#7F00FF;50%;0%;100%;270°;100%;50%;100%;100%; 
Violet (RYB);#8601AF;53%;0%;69%;270°;99%;35%;100%;71%; 
Violet (web);#EE82EE;93%;51%;93%;300°;76%;72%;45%;93%; 
Violet-blue;#324AB2;20%;29%;70%;229°;56%;45%;72%;70%; 
Violet-red;#F75394;97%;33%;58%;336°;91%;65%;66%;97%; 
Viridian;#40826D;25%;51%;43%;161°;34%;38%;51%;51%; 
Vivid auburn;#922724;57%;15%;14%;7°;60%;36%;72%;52%; 
Vivid burgundy;#9F1D35;62%;11%;21%;345°;69%;37%;55%;60%; 
Vivid cerise;#DA1D81;85%;11%;51%;328°;77%;48%;87%;86%; 
Vivid orchid;#CC00FF;80%;0%;100%;288°;100%;50%;100%;100%; 
Vivid tangerine;#FFA089;100%;63%;54%;12°;100%;77%;46%;100%; 
Vivid violet;#9F00FF;62%;0%;100%;277°;100%;50%;100%;100%; 
Warm black;#004242;0%;26%;26%;180°;100%;13%;100%;26%; 
Waterspout;#A4F4F9;64%;96%;98%;183°;88%;81%;87%;97%; 
Wenge;#645452;39%;33%;32%;7°;10%;36%;18%;39%; 
Wheat;#F5DEB3;96%;87%;70%;39°;77%;83%;26%;96%; 
White;#FFFFFF;100%;100%;100%;0°;0%;100%;0%;100%;White
White smoke;#F5F5F5;96%;96%;96%;0°;0%;96%;0%;96%; 
Wild blue yonder;#A2ADD0;64%;68%;82%;226°;33%;73%;22%;81%; 
Wild orchid;#D77A02;84%;44%;64%;331°;56%;64%;48%;84%; 
Wild Strawberry;#FF43A4;100%;26%;64%;329°;100%;63%;74%;100%; 
Wild Watermelon;#FC6C85;99%;42%;52%;350°;96%;71%;57%;99%; 
Windsor tan;#AE6838;65%;33%;1%;24°;98%;33%;68%;68%; 
Wine;#722F37;45%;18%;22%;353°;42%;32%;59%;45%; 
Wine dregs;#673147;40%;19%;28%;336°;36%;30%;52%;40%; 
Wisteria;#C9A0DC;79%;63%;86%;281°;46%;75%;27%;86%; 
Wood brown;#C19A6B;76%;60%;42%;33°;41%;59%;45%;76%; 
Xanadu;#738678;45%;53%;47%;136°;8%;49%;14%;52%; 
Yale Blue;#0F4D92;6%;30%;57%;212°;81%;32%;90%;57%; 
Yellow;#FFFF00;100%;100%;0%;60°;100%;50%;100%;100%;Yellow
Yellow (Munsell);#EFCC00;94%;80%;0%;50°;100%;47%;100%;100%; 
Yellow (NCS);#FFD300;100%;83%;0%;50°;100%;50%;100%;100%; 
Yellow (process);#FFEF00;100%;94%;0%;56°;100%;50%;100%;100%; 
Yellow (RYB);#FEFE33;100%;100%;20%;60°;99%;60%;80%;99%; 
Yellow-green;#9ACD32;60%;80%;20%;80°;61%;50%;76%;80%; 
Yellow Orange;#FFAE42;100%;68%;26%;34°;100%;63%;74%;100%; 
Zaffre;#0014A8;0%;8%;66%;233°;100%;33%;100%;66%; 
Zinnwaldite brown;#2C1608;17%;9%;3%;23°;69%;10%;82%;17%; 
